Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Agra,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,33,SURESH CHAND KARDAM,Samajwadi Party,37,271294,Uttar Pradesh
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,33,RAJARAM PAL,Samajwadi Party,37,44345,Uttar Pradesh
Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,33,BIJENDRA SINGH,Samajwadi Party,37,15647,Uttar Pradesh
Allahabad,52,UJJWAL RAMAN SINGH,Indian National Congress,6,NEERAJ TRIPATHI,Bharatiya Janata Party,33,58795,Uttar Pradesh
Ambedkar Nagar,55,LALJI VERMA,Samajwadi Party,37,RITESH PANDEY,Bharatiya Janata Party,33,137247,Uttar Pradesh
Amethi,37,KISHORI LAL,Indian National Congress,6,SMRITI IRANI,Bharatiya Janata Party,33,167196,Uttar Pradesh
Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,33,KUNWAR DANISH ALI,Indian National Congress,6,28670,Uttar Pradesh
Aonla,24,NEERAJ MAURYA,Samajwadi Party,37,DHARMENDRA KASHYAP,Bharatiya Janata Party,33,15969,Uttar Pradesh
Azamgarh,69,DHARMENDRA YADAV,Samajwadi Party,37,DINESH LAL YADAV Ã¢ÂÂNIRAHUAÃ¢ÂÂ,Bharatiya Janata Party,33,161035,Uttar Pradesh
Badaun,23,ADITYA YADAV,Samajwadi Party,37,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,33,34991,Uttar Pradesh
Baghpat,11,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,2,AMARPAL,Samajwadi Party,37,159459,Uttar Pradesh
Baharaich,56,ANAND KUMAR,Bharatiya Janata Party,33,RAMESH CHANDRA,Samajwadi Party,37,64227,Uttar Pradesh
Ballia,72,SANATAN PANDEY,Samajwadi Party,37,NEERAJ SHEKHAR,Bharatiya Janata Party,33,43384,Uttar Pradesh
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,37,R. K. SINGH PATEL,Bharatiya Janata Party,33,71210,Uttar Pradesh
Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,33,SADAL PRASAD,Indian National Congress,6,3150,Uttar Pradesh
Barabanki,53,TANUJ PUNIA,Indian National Congress,6,RAJRANI RAWAT,Bharatiya Janata Party,33,215704,Uttar Pradesh
Bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,33,PRAVEEN SINGH ARON,Samajwadi Party,37,34804,Uttar Pradesh
Basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,37,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,33,100994,Uttar Pradesh
Bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,33,LALITESHPATI TRIPATHI,All India Trinamool Congress,0,44072,Uttar Pradesh
Bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,2,DEEPAK,Samajwadi Party,37,37508,Uttar Pradesh
Bulandshahr,14,DR BHOLA SINGH,Bharatiya Janata Party,33,SHIVRAM,Indian National Congress,6,275134,Uttar Pradesh
Chandauli,76,BIRENDRA SINGH,Samajwadi Party,37,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,33,21565,Uttar Pradesh
Deoria,66,SHASHANK MANI,Bharatiya Janata Party,33,AKHILESH PRATAP SINGH,Indian National Congress,6,34842,Uttar Pradesh
Dhaurahra,29,ANAND BHADAURIYA,Samajwadi Party,37,REKHA VERMA,Bharatiya Janata Party,33,4449,Uttar Pradesh
Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,33,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,37,42728,Uttar Pradesh
Etah,22,DEVESH SHAKYA,Samajwadi Party,37,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,33,28052,Uttar Pradesh
Etawah,41,JITENDRA KUMAR DOHARE,Samajwadi Party,37,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,33,58419,Uttar Pradesh
Faizabad,54,AWADHESH PRASAD,Samajwadi Party,37,LALLU SINGH,Bharatiya Janata Party,33,54567,Uttar Pradesh
Farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,33,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,37,2678,Uttar Pradesh
Fatehpur,49,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,37,NIRANJAN JYOTI,Bharatiya Janata Party,33,33199,Uttar Pradesh
Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,33,RAMNATH SINGH SIKARWAR,Indian National Congress,6,43405,Uttar Pradesh
Firozabad,20,AKSHAYA YADAV,Samajwadi Party,37,VISHWADEEP SINGH,Bharatiya Janata Party,33,89312,Uttar Pradesh
Gautam Buddha Nagar,13,DR. MAHESH SHARMA,Bharatiya Janata Party,33,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,37,559472,Uttar Pradesh
Ghaziabad,12,ATUL GARG,Bharatiya Janata Party,33,DOLLY SHARMA,Indian National Congress,6,336965,Uttar Pradesh
Ghazipur,75,AFZAL ANSARI,Samajwadi Party,37,PARS NATH RAI,Bharatiya Janata Party,33,124861,Uttar Pradesh
Ghosi,70,RAJEEV RAI,Samajwadi Party,37,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,0,162943,Uttar Pradesh
Gonda,59,KIRTIVARDHAN SINGH,Bharatiya Janata Party,33,SHREYA VERMA,Samajwadi Party,37,46224,Uttar Pradesh
Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,33,KAJAL NISHAD,Samajwadi Party,37,103526,Uttar Pradesh
Hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,37,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,33,2629,Uttar Pradesh
Hardoi,31,JAI PRAKASH,Bharatiya Janata Party,33,USHA VERMA,Samajwadi Party,37,27856,Uttar Pradesh
Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,33,JASVEER VALMIKI,Samajwadi Party,37,247318,Uttar Pradesh
Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,37,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,33,53898,Uttar Pradesh
Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,37,KRIPASHANKAR SINGH,Bharatiya Janata Party,33,99335,Uttar Pradesh
Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,33,"PRADEEP JAIN ""ADITYA""",Indian National Congress,6,102614,Uttar Pradesh
Kairana,2,IQRA CHOUDHARY,Samajwadi Party,37,PRADEEP KUMAR,Bharatiya Janata Party,33,69116,Uttar Pradesh
Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,33,BHAGAT RAM,Samajwadi Party,37,148843,Uttar Pradesh
Kannauj,42,AKHILESH YADAV,Samajwadi Party,37,SUBRAT PATHAK,Bharatiya Janata Party,33,170922,Uttar Pradesh
Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,33,ALOK MISRA,Indian National Congress,6,20968,Uttar Pradesh
Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,37,VINOD KUMAR SONKAR,Bharatiya Janata Party,33,103944,Uttar Pradesh
Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,37,AJAY KUMAR,Bharatiya Janata Party,33,34329,Uttar Pradesh
Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,33,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,37,81790,Uttar Pradesh
Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,37,NEELAM SONKER,Bharatiya Janata Party,33,115023,Uttar Pradesh
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,33,RAVIDAS MEHROTRA,Samajwadi Party,37,135159,Uttar Pradesh
Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,37,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,33,35850,Uttar Pradesh
Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,33,VIRENDRA CHAUDHARY,Indian National Congress,6,35451,Uttar Pradesh
Mainpuri,21,DIMPLE YADAV,Samajwadi Party,37,JAYVEER SINGH,Bharatiya Janata Party,33,221639,Uttar Pradesh
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,33,MUKESH DHANGAR,Indian National Congress,6,293407,Uttar Pradesh
Meerut,10,ARUN GOVIL,Bharatiya Janata Party,33,SUNITA VERMA,Samajwadi Party,37,10585,Uttar Pradesh
Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),1,RAMESH CHAND BIND,Samajwadi Party,37,37810,Uttar Pradesh
Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,33,SANGITA RAJVANSHI,Samajwadi Party,37,33406,Uttar Pradesh
Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,37,KAUSHAL KISHORE,Bharatiya Janata Party,33,70292,Uttar Pradesh
Moradabad,6,RUCHI VIRA,Samajwadi Party,37,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,33,105762,Uttar Pradesh
Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,37,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,33,24672,Uttar Pradesh
Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),1,OM KUMAR,Bharatiya Janata Party,33,151473,Uttar Pradesh
Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,33,AMAR NATH SINGH MAURYA,Samajwadi Party,37,4332,Uttar Pradesh
Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,33,BHAGWAT SARAN GANGWAR,Samajwadi Party,37,164935,Uttar Pradesh
Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,37,SANGAM LAL GUPTA,Bharatiya Janata Party,33,66206,Uttar Pradesh
Rae Bareli,36,RAHUL GANDHI,Indian National Congress,6,DINESH PRATAP SINGH,Bharatiya Janata Party,33,390030,Uttar Pradesh
Rampur,7,MOHIBBULLAH,Samajwadi Party,37,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,33,87434,Uttar Pradesh
Robertsganj,80,CHHOTELAL,Samajwadi Party,37,RINKI SINGH,Apna Dal (Soneylal),1,129234,Uttar Pradesh
Saharanpur,1,IMRAN MASOOD,Indian National Congress,6,RAGHAV LAKHANPAL,Bharatiya Janata Party,33,64542,Uttar Pradesh
Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,37,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,33,3573,Uttar Pradesh
Sambhal,8,ZIA UR REHMAN,Samajwadi Party,37,PARMESHWAR LAL SAINI,Bharatiya Janata Party,33,121494,Uttar Pradesh
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,37,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,33,92170,Uttar Pradesh
Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,33,JYOTSNA GOND,Samajwadi Party,37,55379,Uttar Pradesh
Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,37,SAKET MISRA,Bharatiya Janata Party,33,76673,Uttar Pradesh
Sitapur,30,RAKESH RATHOR,Indian National Congress,6,RAJESH VERMA,Bharatiya Janata Party,33,89641,Uttar Pradesh
Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,37,MANEKA SANJAY GANDHI,Bharatiya Janata Party,33,43174,Uttar Pradesh
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,33,ANNU TANDON,Samajwadi Party,37,35818,Uttar Pradesh
Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,33,AJAY RAI,Indian National Congress,6,152513,Uttar Pradesh
